Grupo;Hosts
LAN/DNIT/PR/PR_DNIT_CURITIBA;
LAN/DNIT/BA/BA_DNIT_SALVADOR;DNIT-BA-SR-F02,DNIT-BA-SR-F03
LAN/DNIT/SE/SE_DNIT_ARACAJU;DNIT-AJU-SR-V02,DNIT-AJU-SR-V03,DNIT-AJU-SR-V01,DNIT-AJU-SR-F01,DNIT-AJU-SR-F02,DNIT-AJU-SR-F03
LAN/DNIT/MG/DNIT_BELO_HORIZONTE_MG;DNIT-BHE-SR-V03,DNIT-BHE-SR-F01,DNIT-BHE-SR-V05
LAN/DNIT/RO/RO_DNIT_PORTO_VELHO;dnit-pvo-sr-f02,dnit-pvo-sr-f01,dnit-pvo-sr-f03
LAN/DNIT/RJ/RJ_DNIT_RIO-DE-JANEIRO;DNIT-RJO-SR-V03,DNIT-RJO-SR-V06,DNIT-RJO-SR-F01,DNIT-RJO-SR-F04,DNIT-RJO-SR-F05,DNIT-RJO-SR-V02
LAN/DNIT/PE/PE_DNIT_RECIFE;dnit-rce-sr-f02,dnit-rce-sr-f03,dnit-rce-sr-v02,dnit-rce-sr-v05,DNITdnit-rce-sr-f01,dnit-rce-sr-v03
LAN/DNIT/AL/AL_DNIT_MACEIO;dnit-mco-sr-v05,dnit-mco-sr-sw1203,dnit-mco-sr-v02,dnit-mco-sr-v03,dnit-mco-sr-f03,dnit-mco-sr-sw1205,dnit-mco-sr-f02,dnit-mco-sr-f01
LAN/DNIT/PB/PB_DNIT_JOAO_PESSOA;dnit-jpa-sr-f03
LAN/DNIT/SP/SP_DNIT_SAO_PAULO;
LAN/DNIT/MS/MS_DNIT_CAMPO_GRANDE;
LAN/DNIT/MT/MT_DNIT_CUIABA;
LAN/DNIT/TO/TO_DNIT_PALMAS;
